season,season_type,bucket,qb_id,qb,team,games,n,epa,epa2,succ,cpoe,cpoe_n,sacks,ints,tds,att,comp
2021,REG,all,00-0033119,J.Brissett,MIA,8,257,-21.506110695460308,537.2603513342284,110.0,-480.5700421333313,217,19.0,4.0,5.0,244.0,141.0
2021,REG,all,00-0035993,T.Huntley,BAL,6,230,-15.781236892228073,482.3265444000127,98.0,-191.69057309627533,182,18.0,4.0,3.0,205.0,122.0
2021,REG,all,00-0032156,T.Siemian,NO,6,204,-9.529915959365184,547.9164337836412,84.0,-826.2999653816223,175,9.0,3.0,11.0,201.0,108.0
2021,REG,all,00-0031503,J.Winston,NO,7,189,33.34137558162851,556.0149839979495,90.0,-480.0375208258629,153,11.0,3.0,14.0,172.0,95.0
2021,REG,all,00-0030520,M.Glennon,NYG,6,178,-78.50861061234073,641.8433085342784,63.0,-1213.2180720567703,154,9.0,10.0,4.0,174.0,90.0
2021,REG,all,00-0028118,T.Taylor,HOU,6,177,-7.8080883734726125,541.1427003181932,75.0,-522.1416682004929,144,13.0,5.0,5.0,162.0,91.0
2021,REG,all,00-0033357,T.Hill,NO,11,157,-4.507309833162701,436.0350285211859,70.0,-901.1936783790588,127,9.0,5.0,4.0,141.0,78.0
2021,REG,all,00-0027939,C.Newton,CAR,6,142,-37.48564013426209,397.73972774773796,54.0,-1566.7833477258682,124,10.0,5.0,4.0,137.0,69.0
2021,REG,all,00-0034401,M.White,NYJ,4,137,-7.311145533085524,398.2311551447377,68.0,-274.0704268217087,131,4.0,8.0,5.0,137.0,88.0
2021,REG,all,00-0035704,D.Lock,DEN,6,126,-5.288658447086654,256.3067708704344,50.0,-360.69336235523224,109,9.0,2.0,2.0,119.0,67.0
2021,REG,all,00-0030565,G.Smith,SEA,4,111,-0.4814082288761541,275.8179553011382,48.0,572.435986995697,88,13.0,1.0,5.0,107.0,65.0
2021,REG,all,00-0027688,C.McCoy,ARI,4,108,13.008698115391743,247.33209030877015,53.0,344.78819370269775,98,6.0,1.0,3.0,105.0,74.0
2021,REG,all,00-0034177,T.Boyle,DET,3,96,-1.9676660409439828,255.42885157314726,40.0,-324.91303384304047,93,0.0,6.0,3.0,95.0,61.0
